ID,tweet,fecha,usuario,dispositivo
1305207628881186816,"Así ROBA  2 #AMLO 
#VivaHidalgo
👉 #VivaelCacas 👈
#VivaMexico 🇲🇽

Que poca MADRE!!!
@ness5791
@IlixIleana
@donosolara27
@RBorealis
@andreaaa027
@ogribell
@Claus_BasareLLi
@Mar5262
@pitinga72
Por favor que a nadie se le ocurra hablar mal de la robadera  https://t.co/ufx6kegJqP",2020-09-13 18:12:02,Xboyintown,Twitter for Android
1305207126873255942,La rifa del avión presidencial! https://t.co/myscfPKNkV #AMLO #4T #Rifa #avion #AVIONPRESIDENCIAL #RifaDelAvion #TodosSomosAMLO #FelizDomingo https://t.co/KkRPIB2XKU,2020-09-13 18:10:03,AlvaroCueva,Hootsuite Inc.
1305206530682138624,"@ArturoL10156564 @V_TrujilloM No hay ropa sucia, hay una imperiosa necesidad de los corruptos de este país de involucrar a ##AMLO para pasarlo a sus filas y que no haya alguien que los pueda confrontar tan frontalmente como él lo está haciendo. AMLO es el gato dentro de las ratas, son enemigos naturales",2020-09-13 18:07:41,JJoseSSantos,Twitter Web App
1305205867965546498,@Nakachi_Mx El inmundo de el actual presidente ..🤷 #AMLO,2020-09-13 18:05:03,saradelangel22,Twitter for Android
1305205703972401152,"#AMLO encabezó hoy el 173 aniversario de la gesta heroica de los Niños Héroes en el Altar a la Patria. 

#Nacional | #Política  

https://t.co/XeU0DT4KZQ",2020-09-13 18:04:24,LaJornadaMaya,TweetDeck
1305205460484657158,#Amlo habló del fraude en #Chihuahua sucedido en 1986... pero no mencionó que #Bartlett fue quién organizó ese fraude. Atole para los #chairos #redamlo #redamlove #amlove https://t.co/V0Qu5l5hAI,2020-09-13 18:03:25,MexicoDecide,Twitter for iPhone
1305204780327989254,"@INSABI_mx destina casi 8 millones de pesos para comprar “cachitos” de la rifa de #AMLO 
Dinero que podría haber tenido mejor destino. Pero empecinado en hacer pendejadas @lopezobrador_ orillas sus subordinados a cumplir sus caprichos con más pendejadas... https://t.co/pVu1R9fNfy",2020-09-13 18:00:43,ears_politicon,Twitter for Android
1305204685486403584,¡Todo sobre la ceremonia del GRITO de este año! aquí: https://t.co/Kn3f02MjNX @N22Digital @Canal22 @SPRMexico @imerhoy @Cuauhtemoc_1521 @callejag #AMLO #4T #grito #15DeSeptiembre #Debate22 #MediosPublicos #Mexico #FelizDomingo https://t.co/6cUipD3PF3,2020-09-13 18:00:21,AlvaroCueva,Hootsuite Inc.
1305204374763962375,"Rt. 

Yo con #AMLO https://t.co/6Aze4hw6GL https://t.co/uGjZwOQ7W9",2020-09-13 17:59:07,Pipianero,Twitter for Android
1305203915948871683,"Excelente Twitt

#RedAMLO 
#AMLO https://t.co/cal1OlEOCX",2020-09-13 17:57:17,Vampiroperver,Twitter for Android
